id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,price_clean,est_bookings_mo,occupancy_rate,projected_revenue
932917359569463482,Cozy brick home near Nashville INTL Airport - BNA,456401081,Emmanuel,,District 28,36.08678,-86.65421,Entire home/apt,174.0,3,69,2025-08-26,2.71,1,314,19,,174.0,5.42,0.5419999999999999,2829.24
933224027920279005,Walk to Downtown,131468900,Alexa,,District 6,36.17548,-86.75565,Entire home/apt,79.0,1,74,2025-09-16,2.82,2,133,45,,79.0,5.64,0.564,1336.6799999999998
933278309397310036,Nashville Vacation Rental Near Bridgestone Arena!,121235121,Evolve,,District 17,36.13141,-86.77719,Entire home/apt,150.0,3,85,2025-09-15,3.18,41,16,33,,150.0,6.36,0.636,2862.0
934140386912459010,The Taylor Nash ~ Broadway~ close to gulch,269786762,Ashley,,District 17,36.1369543,-86.7869818,Entire home/apt,260.0,2,26,2025-09-22,0.99,10,249,16,,260.0,1.98,0.19799999999999998,1544.3999999999999
934154058355227007,"Boho Enclave (4 bedrooms, sleeps 10 comfortably)",440360756,Chris,,District 19,36.1808327,-86.79841789999999,Entire home/apt,101.0,1,95,2025-09-14,4.93,56,228,53,,101.0,9.86,0.7,2121.0
934723197222584691,Broadway Bliss | Pool Open! Walk to Broadway & DT!,285748255,Allie,,District 19,36.151716,-86.777896,Entire home/apt,305.0,3,130,2025-09-15,4.95,6,135,52,,305.0,9.9,0.7,6405.0
935005801929290909,Spacious 4BR Home |Sleeps 12| 10 Mins to Broadway,333621135,Chris,,District 5,36.1946808,-86.7561085,Entire home/apt,139.0,1,31,2025-09-07,1.43,7,108,19,,139.0,2.86,0.286,1192.62
935500673675125902,Home w/ Fenced Yard in Edgehill,22210451,Alexander,,District 19,36.1457188,-86.7883488,Entire home/apt,316.0,30,8,2025-09-06,0.43,1,317,6,,316.0,0.86,0.08600000000000001,815.2800000000001
935758563504466003,Custom Shed #4 in Berry Hill off 8th; Step-Free,492513588,Judy,,District 17,36.12514249611454,-86.77460569444273,Entire home/apt,140.0,1,9,2025-09-09,0.46,4,143,6,,140.0,0.92,0.09200000000000001,386.40000000000003
937571368544343664,"Beautiful, New Townhome | Hot Tub",279124542,Daniel,,District 2,36.1871999,-86.81587560000001,Entire home/apt,299.0,4,7,2025-08-30,0.27,1,360,5,,299.0,0.54,0.054000000000000006,484.38000000000005
